sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,species
5.100049206134299,3.511949821500339,1.3890344857855113,0.16437632644970904,0,setosa
5.081813168593131,3.4603341378001415,1.4024057441038975,0.25360860982218136,0,setosa
5.080311739257946,3.475181004007202,1.4195936820074078,0.21427548032640245,0,setosa
5.104216569959916,3.462781278211672,1.398829927101469,0.2278121277783315,0,setosa
5.046231418108596,3.481695369558391,1.323951090407966,0.14841849040860097,0,setosa
5.026330598488331,3.4905963547570127,1.3493021407422519,0.21085057435286808,0,setosa
5.106270043464969,3.4925227622148016,1.2993296115671793,0.17845228416613454,0,setosa
5.098059962183957,3.504532359440132,1.3387945693797842,0.18088986895864279,0,setosa
5.060859236877734,3.467646510422976,1.4424359449354431,0.16769861298672414,0,setosa
5.098699131802179,3.535375594695327,1.3766559826902678,0.19553192201663364,0,setosa
5.104418565729979,3.5025512709702027,1.3509977669432922,0.20304560921508033,0,setosa
5.154352936869661,3.4381142128748605,1.4343753075208638,0.20477416102786325,0,setosa
5.074341184235711,3.580016661853697,1.4304903884833884,0.15202844391579107,0,setosa
5.102980649150858,3.5230675833468075,1.39244871498597,0.22731641068780825,0,setosa
5.097339307194023,3.526689902433373,1.457540903666246,0.1729735099597739,0,setosa
5.108125544415584,3.4814676969384633,1.405090736449033,0.15251221888599442,0,setosa
5.0768279361398925,3.4921521610878203,1.4359505548840161,0.24580888029816528,0,setosa
5.047058888300629,3.468214305360518,1.4258761369029367,0.12030320863302023,0,setosa
5.081473205401905,3.4961085229731963,1.4502805990914727,0.22757615602283024,0,setosa
5.086911463191112,3.485256964236002,1.3899921839792828,0.2609411760182464,0,setosa
5.082879002297085,3.487852784465411,1.4141035626914105,0.1951691821965418,0,setosa
5.092108630881371,3.455437314273958,1.399539141278458,0.18225675108102324,0,setosa
5.146645111047609,3.5261235401080464,1.3990342554796027,0.22673524093069378,0,setosa
5.086405217931474,3.542085054337078,1.3997840175731349,0.22333529416721656,0,setosa
5.048364270187061,3.5138672019551374,1.3324718353053382,0.11858684220240272,0,setosa
5.087820924891542,3.4640028956960562,1.4065621118284888,0.289790265059442,0,setosa
4.866731072743517,2.9750422565422436,1.4082161578425878,0.21972053165649427,0,setosa
4.89294375736377,2.9917627867898715,1.4280985182048216,0.22079630548135595,0,setosa
4.858652966717052,2.9968327472553664,1.401411473946459,0.15782061511803558,0,setosa
4.9103935640269745,2.965681740912938,1.4388826683166815,0.2077098365042029,0,setosa
4.903572259430763,2.976358865885749,1.395255607044892,0.12009014828371782,0,setosa
4.854743701179078,3.01451359196755,1.3148573183271142,0.23386434085924654,0,setosa
4.830156140985044,3.0302695401065707,1.366180118684827,0.23115964337369846,0,setosa
4.905238048303392,2.9385266023883405,1.449965949982338,0.2576682862209045,0,setosa
4.897367803759992,2.989043349113107,1.3936053213611745,0.16099390708885017,0,setosa
4.943943470390277,2.9782843227307927,1.3979523834923329,0.16826814387187827,0,setosa
4.874957076011192,2.9488909939339534,1.4502827725485756,0.19383649707175948,0,setosa
4.938636864749153,3.0005329838765302,1.3722238588918843,0.18693258959990994,0,setosa
4.877590757979885,3.0003183639673967,1.3849893264129216,0.18800313136232807,0,setosa
4.844857012634564,2.967726162895155,1.4661623019520171,0.1731506713499313,0,setosa
4.857836248495061,3.013493053303001,1.4562908879822611,0.1418390279007517,0,setosa
4.89165912606995,2.974717897842604,1.3295592210269038,0.2293970683703357,0,setosa
4.899062243257807,3.0028576737717043,1.3699075411021764,0.21819136651987667,0,setosa
4.8784281060205075,2.9942838716601297,1.3556695683127393,0.1513558895916722,0,setosa
4.953421274212001,2.979715811818461,1.411667214254232,0.19864838260930512,0,setosa
4.882354191889513,2.9796815611865113,1.4252033036578233,0.18792529581864362,0,setosa
4.893942254073148,3.000888862287779,1.44706033281008,0.22722043898532554,0,setosa
4.91530401070912,2.97745714426587,1.3447212511997413,0.23798119726941208,0,setosa
4.938657885368835,2.9943716640350666,1.4216753536641407,0.2312577221554162,0,setosa
4.9332473781066,3.036855338929859,1.3817752939735546,0.26059891930658874,0,setosa
4.850136277668572,3.034468923079746,1.4197572831612302,0.23494476454098012,0,setosa
4.97516033228387,3.059377818935146,1.3541929237124268,0.13245313678928572,0,setosa
4.732675562362152,3.159399503364963,1.2995037844540995,0.23358909908020778,0,setosa
4.634248105952577,3.115600781827621,1.3103719608134892,0.2017754355845319,0,setosa
4.690167877144724,3.2015413905508088,1.2655793757053089,0.13946022370911573,0,setosa
4.693333805964787,3.1611316523580246,1.2342607471035558,0.2202272428557311,0,setosa
4.697544054863113,3.2162611414653126,1.2604282023429625,0.1736776483265337,0,setosa
4.660038278911194,3.1645343253176783,1.3078163167099761,0.16868101534660218,0,setosa
4.714242651552811,3.213590237016729,1.3810064394752042,0.14428843816532763,0,setosa
4.735516095113402,3.1964204815244632,1.29943881079476,0.14200544712373556,0,setosa
4.681592247491014,3.229727890537758,1.296700865119308,0.20324217481645063,0,setosa
4.688371332775978,3.2461827898794517,1.2991410973182602,0.11198337310071753,0,setosa
4.67231709798102,3.1212481357167903,1.1699424633801385,0.17879538600910752,0,setosa
4.753342394004109,3.2018847962452237,1.2530981717038008,0.16237200527190312,0,setosa
4.745224529210001,3.206305064935939,1.3019199696624824,0.19786152844647772,0,setosa
4.701536010462214,3.2322162258777523,1.3221026918942431,0.2086281880009798,0,setosa
4.658285265696399,3.2204443505963893,1.2726301168803003,0.24375382703601917,0,setosa
4.6491579671310355,3.1944951609489767,1.2997056685483492,0.14701417797423455,0,setosa
4.768878865754259,3.258416270690382,1.2814566495356368,0.23086884662258095,0,setosa
4.715147042786809,3.0954576214661897,1.3100159206511037,0.19754623680667008,0,setosa
4.703328694138982,3.156925003206913,1.289226118151184,0.19286964946470814,0,setosa
4.747523768688493,3.213377082415641,1.2997777987918935,0.26115879991643765,0,setosa
4.677790082809454,3.184422787804985,1.2273297995464376,0.2627642338513445,0,setosa
4.738573294727777,3.2366739217804685,1.3267559378578775,0.2044059435065461,0,setosa
4.708619557567293,3.189919736389308,1.2918559829710823,0.20217214446854778,0,setosa
4.760473180462551,3.2222275160723233,1.2976615949696455,0.17682431798226417,0,setosa
4.674600060503534,3.2641082004468998,1.3202674921690842,0.2027020223324262,0,setosa
4.686152726313892,3.1556378635319793,1.2973255377012043,0.23494632137880805,0,setosa
4.5842985101265,3.0909102966799775,1.491158625942441,0.20438377471992675,0,setosa
4.536279564850175,3.0905840659213966,1.4658241792738371,0.23538340130250424,0,setosa
4.569176052937405,3.1230818698920277,1.5609774981090705,0.187456149548735,0,setosa
4.575936949915061,3.1076572903650437,1.4999188388956388,0.16025534610641157,0,setosa
4.618436776628535,3.1806206421390164,1.489675520189371,0.19188495215741347,0,setosa
4.5582027190572365,3.112763538067462,1.4501209510116948,0.15572275902594068,0,setosa
4.651186690873751,3.0637818776242143,1.5432543027732535,0.2609743201513123,0,setosa
